Time,Name/Nickname,Gender,Age,Maximum rating in Dota,Current Dota rating,Number of Hours ingame (atleast approximate),How many games do you play per week on average?,My mood worsens if I don't play Dota 2 for a long time,I spend almost all my free time on Dota 2,I often play more than I need to because I can't stop (register a new game),"When I play Dota, I'm completely focused on it (I don't play ""for fun"")",Every week/month I spend more time in Dota than before,"I often regist the next game despite discomfort (I can play hungry, sleepy, not feeling well, etc.)",I don't tell family/friends about the number of hours I spend in Dota,Dota lets me forget about stress and life problems irl,"Due to the number of hours spent in the game, I study / work / perform other tasks worse",Every game in DotA I play to win.,"I often play DotA pho fan - I'm interested in the process of the game itself (I try different builds, new heroes, bundles, etc.)","If my teammates frankly ruin the game, I can ruin them in response",I can pour out of the game / get into the amulet if something goes wrong,I have a specific goal - to upgrade the birds (for example: get 6k mmr or a medal of the lord / devine / titan),I play dota to win,"In DotA, too much depends not on me and my game","If I lose, then this is most often due to the bad game of teammates","If I had a strong team in every game, I would almost never lose",My possible pts is much bigger than my actual one,I have been sitting on the same rating for a long time without any visible progress,I often lose my desire to play when my teammates play badly,"MMR is just a number, it does not show the player's real skill","Write down the three heroes that you have played the most games on, the number and win rate on these heroes (for example: Pudge, 152 games, 56%):"
2021/11/08 1:13:43 PM GMT+3,sereggay,?,17,1250,1030,1500,20-30 ??? (?????? ???? ?? ????????? ???),4,4,2,5,1,5,1,5,2,5,1,5,5,5,5,2,2,1,1,1,2,1,wraith(????) ????(korol') 500 ??? 60% ??????? ???? 40 ??? 70% ????????? 130 ??? 70% ?????? ?? ????? ?????? <3 <3 <3
2021/11/08 1:14:02 PM GMT+3,??????? ,?,16,0,0,8,1-5 ??? (?? ???????? ????? ???? ?????),1,1,1,3,4,1,1,5,1,2,4,1,1,1,3,2,2,5,3,1,4,5,-
2021/11/08 1:14:13 PM GMT+3,fornaxvoid,?,17,590,550,1000,6-10 ??? (???? ???? ? ?????? ?????????-????),1,2,4,4,3,3,2,4,2,5,1,2,1,5,3,1,5,4,2,4,5,5,"Faceless void, 140 ???, 70%. Arc Varden 60 ???,69%.Terrorblade 70 ???, 59%."
2021/11/08 1:14:16 PM GMT+3,Lilich,?,15,620,400-600,2200,20-30 ??? (?????? ???? ?? ????????? ???),4,5,4,3,2,4,5,4,1,4,2,1,1,5,4,4,3,4,4,4,1,3,faceless void ???:60 ????????:42(??? ?? ?????)slark ???:57 ??????:49 Wraith king ???: 65 ???????:66
2021/11/08 1:14:27 PM GMT+3,Into2d,?,25,??? ????????,??? ????????,170,1-5 ??? (?? ???????? ????? ???? ?????),2,1,1,2,1,2,1,4,1,3,4,1,1,1,4,2,1,3,1,4,2,2,"?????, 13 ???, 54%
???????, 21 ????, 57%
?????, 14 ???, 64%"
2021/11/08 1:14:29 PM GMT+3,SkyL-,?,18,"????, ?????? ?????? ???????","????, ?????? ?????? ???????",350,6-10 ??? (???? ???? ? ?????? ?????????-????),2,3,1,4,3,1,3,4,1,4,2,1,1,3,4,3,1,3,2,2,1,5,"?????, 41 ????, 58%. ??????, 32 ????, 56%. ???????, 24 ????, 50%. "
2021/11/08 1:14:32 PM GMT+3,cwinsi,?,21,3700,2800,2500,6-10 ??? (???? ???? ? ?????? ?????????-????),2,2,1,3,1,2,3,1,1,3,3,1,1,2,4,2,2,3,3,3,2,3,"Puck, 137, 51,82%
Dazzle, 98, 62.24%
Queen of Pain, 73, 47.95%"
2021/11/08 1:14:48 PM GMT+3,????????? ?????,?,16,3000,2220,4019,11-20 ??? (????? ?????? ???? ?? ????????? ???),3,2,2,3,1,1,1,5,1,5,3,1,1,4,5,1,3,5,5,4,4,5,"?? 210 53%, ?????? 182 47%, ?? 110 50%"
2021/11/08 1:15:01 PM GMT+3,Føxy,?,23,4900,???? ????????? ?? 1000-?? 4900,?? 6?,11-20 ??? (????? ?????? ???? ?? ????????? ???),2,3,3,5,3,2,4,3,2,4,2,2,2,5,4,3,3,5,5,3,2,2,"Wisp, phoenix, techis"
2021/11/08 1:15:23 PM GMT+3,????,?,15,1000,530,960,1-5 ??? (?? ???????? ????? ???? ?????),1,2,1,3,1,2,2,2,1,5,3,2,2,4,5,3,2,4,3,4,5,2,"?????????, 170 ???, 60%
???? ?????? 165 ???, 51%
??????? 100 ???, 54%"
2021/11/08 1:15:45 PM GMT+3,12,?,19,1300,1230,2000,11-20 ??? (????? ?????? ???? ?? ????????? ???),2,1,1,3,2,2,1,4,3,3,4,2,1,1,3,2,3,4,3,3,4,5,"??????, 70 ???, 66%; ?????, 130 ???, 71%; ????????, 34 ????, 60%"
2021/11/08 1:15:49 PM GMT+3,?????/Pencha,?,23,2400,1950,6000,20-30 ??? (?????? ???? ?? ????????? ???),2,4,3,5,1,5,1,3,4,5,1,3,2,5,5,2,1,3,4,1,1,1,"Riki, 397 ???, 60.5%
Skywrath Mage, 162 ????, 50%
Juggernaut, 157 ???, 52.8%"
2021/11/08 1:15:59 PM GMT+3,Demon,?,15,500,470,599,1-5 ??? (?? ???????? ????? ???? ?????),1,1,1,4,1,5,3,5,1,4,5,5,4,1,2,4,1,2,3,5,4,5,???????? 52 ???? 52%
2021/11/08 1:16:07 PM GMT+3,Alazan,?,19,4800,3990,3300,6-10 ??? (???? ???? ? ?????? ?????????-????),1,2,2,5,1,1,2,4,2,5,1,2,2,3,5,3,2,4,3,2,1,2,"?????, 177 ???, 54,8%; ????, 132 ????, 55,3%; ??????, 103 ????, 55,3%"
2021/11/08 1:16:15 PM GMT+3,Adept_Comeback,?,21,?? ?????,720 ???-??,"????? 800, ????? ????(????? ? 2012 ???? ? ?????? ??????????????, ???-?? ??? ? ??? ?????????? ???????? ??????)",6-10 ??? (???? ???? ? ?????? ?????????-????),1,1,2,3,2,3,1,4,2,3,4,1,1,4,3,2,1,4,2,4,1,3,"Dazzle
7 ???? ?????
58
46.55%

Lich
23 ??? ?????
34
35.29%

Crystal Maiden
10 ???? ?????
31
41.94%"
2021/11/08 1:16:28 PM GMT+3,Sataot,?,19,3900,1200,10000,?????? 30 ??? (?? ????? ???????? ?????? ????),5,2,5,5,3,4,3,5,1,4,1,3,4,4,4,1,3,1,5,3,4,4,"Sf, 500 ??????, 68%; ????, 70 ??????, 64%; ?????,89 ?????? 53%"
2021/11/08 1:16:41 PM GMT+3,Aart,?,20,3000,1200,2-3k,6-10 ??? (???? ???? ? ?????? ?????????-????),2,4,3,3,2,5,4,2,2,4,3,2,1,5,4,3,2,1,5,1,2,3,?? ????? 
2021/11/08 1:16:42 PM GMT+3,TVV2403,?,20,2530,2530,700,?????? 30 ??? (?? ????? ???????? ?????? ????),1,1,5,4,1,5,5,1,5,5,1,1,1,5,5,3,1,5,3,1,2,2,"?? 300 ?? 200 ?????? 60 (? ?????? ??????? ?????? ???? ? ??????? ?? ????? ???? 2?????? ?????, ?? ????? ??? ???? ????????? ???????????)"
2021/11/08 1:16:46 PM GMT+3,Ellexce,?,21,2800,1600,4500,1-5 ??? (?? ???????? ????? ???? ?????),1,1,3,2,1,4,3,5,4,3,4,3,1,4,4,3,2,3,3,4,2,3,"????? 205 ??? - 59,51%, ?????? 150 ??? - 54%,?? 134 ???? - 57,46%"
2021/11/08 1:16:56 PM GMT+3,Yarite,?,19,1600,1400,1700,6-10 ??? (???? ???? ? ?????? ?????????-????),2,2,1,3,1,3,1,3,2,4,2,3,1,5,4,4,2,5,2,4,3,4,"(?????? 96 ???, 53,8%) (?????? 28 ???, 64,3%) (?????? 30 ???, 56,7%)"
2021/11/08 1:16:57 PM GMT+3,tenacity,?,20,4500,3900,7800,20-30 ??? (?????? ???? ?? ????????? ???),4,3,4,4,1,2,3,5,4,5,2,2,2,5,4,2,2,4,4,4,2,1,shadow fiend 360/52%; antimage 320/55%;  bounty hunter 230/57%
2021/11/08 1:16:57 PM GMT+3,????,?,16,2080,1950,1.5?,11-20 ??? (????? ?????? ???? ?? ????????? ???),2,5,1,3,1,1,3,1,1,4,3,1,1,5,5,1,1,3,1,1,1,4,"?????, 270 ???, 60%"
2021/11/08 1:17:00 PM GMT+3,ml1ev,?,13,0,0,220,20-30 ??? (?????? ???? ?? ????????? ???),3,5,4,2,5,2,1,5,1,3,3,1,1,5,3,1,1,3,2,4,2,4,"????, 46 ???, 69%
Monkey King, 24 ????, 66%
??????, 12 ???, 100%"
2021/11/08 1:17:02 PM GMT+3,watcher,?,31,2800,2100,6500,6-10 ??? (???? ???? ? ?????? ?????????-????),3,3,2,5,3,4,4,4,3,5,1,4,1,5,5,3,2,3,3,4,2,3,"Underlord, 149 ???, 55.03%
Wraith King, 145 ???, 57.24%
Necrophos, 113 ???, 59.29%"
2021/11/08 1:17:12 PM GMT+3,???????,?,16,3000,2000,~2000,20-30 ??? (?????? ???? ?? ????????? ???),1,3,2,3,2,4,5,4,3,4,2,2,1,4,4,2,3,2,2,4,4,2,"??????, ~220 ???, 55%. ?????? ??????, ~90 ???, 53%, ??????? ~70 ???, 60%"
2021/11/08 1:17:36 PM GMT+3,TheHunta,?,18,2000,1600,2500,6-10 ??? (???? ???? ? ?????? ?????????-????),3,1,1,5,1,2,3,4,4,5,2,1,1,4,4,2,3,3,5,1,1,4,"???????: 285 ???, 53%, ?????? 116 ???, 57%, ???? 86 ??? 60%"
2021/11/08 1:17:42 PM GMT+3,???? ,?,15 ??? ,1500 ,1500,"????????? 2200, ?????????? 1000 ",11-20 ??? (????? ?????? ???? ?? ????????? ???),2,3,3,3,3,3,5,1,5,3,4,5,4,1,5,3,1,5,1,3,5,1,"?????, 24 ????. 66%. ??????, 28 ???, 67%. ?????, 33 ????, 57 %  "
2021/11/08 1:18:15 PM GMT+3,???? ?????????,?,23,4200,3900,700,11-20 ??? (????? ?????? ???? ?? ????????? ???),1,1,2,3,2,1,2,3,4,3,5,1,1,1,3,4,5,5,1,5,2,5,"?? 150 ??? 63%, ???? 120 ??? 58%, ????? 80 ??? 52%."
2021/11/08 1:18:27 PM GMT+3,GENKI,?,23,1500,1400,3500,1-5 ??? (?? ???????? ????? ???? ?????),5,1,1,3,1,1,3,4,5,3,5,2,2,1,1,5,2,2,3,5,5,1,"????? 225 ??? 70%, ?????? 115 ??? 48%, ????? 100 ??? 15%
"
2021/11/08 1:18:34 PM GMT+3,LionTreks,?,18,3000,2400,800,6-10 ??? (???? ???? ? ?????? ?????????-????),1,2,2,3,1,2,1,3,1,5,2,1,2,3,2,2,3,5,3,2,1,3,"??????????, 67 ???, 47%. ?????? 42 ????, 52.5%. ?????????? 34 ????, 70%."
2021/11/08 1:18:43 PM GMT+3,NonKabuta,?,25,2150,1100,4300,11-20 ??? (????? ?????? ???? ?? ????????? ???),3,4,2,5,2,4,2,5,4,5,2,2,2,5,5,3,2,3,4,5,3,4,"????? 183 ????, 58%. ?? 106 ???, 57%. ????????? 77 ???, 68%."
2021/11/08 1:18:46 PM GMT+3,?????? / ????? ,?,22,310,10,300,11-20 ??? (????? ?????? ???? ?? ????????? ???),1,5,5,5,1,5,1,1,1,5,5,1,1,1,5,3,2,4,5,5,5,5,"????? 69 ??? 49 % ,?????? 40 ??? 62 %"
2021/11/08 1:18:46 PM GMT+3,??????? ?????,?,26,4300,3400,3000,?????? 30 ??? (?? ????? ???????? ?????? ????),2,4,5,5,2,2,5,5,5,4,2,1,1,5,5,1,1,3,4,1,4,1,"?????, ????? 600 ? ?????? ?????, 57%, ???? ??????, 300 ???,  50%, ????, 150 ???, 50%"
2021/11/08 1:18:48 PM GMT+3,?????? Padj ??? hooks,?,25,1800,650,1200,6-10 ??? (???? ???? ? ?????? ?????????-????),3,1,1,4,2,1,1,2,1,4,4,2,2,1,3,4,4,3,3,2,5,4,"Necrophos, 58, 62%
Witch Doctor, 53, 58%
Omniknight, 47, 78%"
2021/11/08 1:18:52 PM GMT+3,Estavos,?,25,900,170 :D,1400,6-10 ??? (???? ???? ? ?????? ?????????-????),2,1,3,3,3,2,1,4,1,3,2,1,1,3,4,2,3,2,4,3,3,3,"???????, 25/48%; ??????????, 23/60%; ??, 18/44%"
2021/11/08 1:18:55 PM GMT+3,?????????,?,21,2?,1.5?,1500,"?????? 50 ??? (???? ???? ??? ILTW, ?????????? ?????? ???? ???-????)",2,3,3,5,3,2,1,4,2,5,1,1,2,5,5,3,3,4,5,5,4,1,"?? ??? ??????, ??? ? ???? ?????? ????? ?????? ? ?? ????? ?????? ????????. ?????? ???? ?? ???????, ????????????? ????? ?????."
2021/11/08 1:19:06 PM GMT+3,?????,?,17,1000,800,869,20-30 ??? (?????? ???? ?? ????????? ???),3,4,2,3,2,1,5,4,4,3,2,2,1,4,3,1,1,2,2,5,3,1,"?????,125 ??? 49,6%, ???? 37 ??? 75,68%"
2021/11/08 1:19:25 PM GMT+3,Jesus Christ Denton (??????? ??????),?,21,2 400,2 260,2 500,11-20 ??? (????? ?????? ???? ?? ????????? ???),1,1,3,2,1,2,2,1,1,3,5,1,1,2,3,2,2,3,2,1,2,3,"Windranger, 131 ????, 57,25%; Legion Commander 67 ????, 59,70%; Snapfire 61 ????, 47.54%"
2021/11/08 1:19:35 PM GMT+3,AsFmi,?,19,3020,2675,400,1-5 ??? (?? ???????? ????? ???? ?????),1,2,3,1,1,1,1,4,1,3,5,1,3,1,3,2,2,5,5,2,5,5,"????, 57 ???, 61%
?????????, 55 ???, 41%
??, 51 ????, 77%"
2021/11/08 1:19:45 PM GMT+3,????_??????,?,18,2990,2350,1500,6-10 ??? (???? ???? ? ?????? ?????????-????),3,1,2,5,1,4,2,3,1,5,2,4,2,3,4,3,3,4,4,3,4,4,"??????, 86 ???,59,3% ; ????, 67 ???, 59% ; ?????, 65 ???, 73,85%"
2021/11/08 1:19:46 PM GMT+3,Attanich,?,21,3200,2970,4000,1-5 ??? (?? ???????? ????? ???? ?????),2,2,2,4,3,2,1,3,2,4,4,1,1,5,4,2,2,4,5,5,2,1,??????? 120 ??? 68%; ???? 50 ??? 70%; ???? 40 ??? 70%
2021/11/08 1:19:47 PM GMT+3,Ice__lay,?,25,4600,4400,6000,6-10 ??? (???? ???? ? ?????? ?????????-????),3,1,3,4,1,4,2,5,3,4,2,1,1,1,5,1,1,2,2,2,2,1,"Dark willow, 310 ???,  61%
???????, 350 ???, 49%
????, ??? 200, 57% 
2 ???????? ? ????? ?????????? ???,  ?????????? ??? ?????????. ? ??????? ???? ? ???? ????,  ??? ??? ?????? ?? ????? ?????. ????? ????)  "
2021/11/08 1:19:52 PM GMT+3,????????? ?????????!,?,27,4200,3600,7000,6-10 ??? (???? ???? ? ?????? ?????????-????),2,1,1,2,1,1,3,4,3,4,2,5,2,2,4,4,3,5,2,5,5,3,"??????,2000 ???,59% ???????"
2021/11/08 1:19:55 PM GMT+3,Popular Monster ,?,27,3100,1700,???????? ?? 2? ????????? ???????? 7? ,1-5 ??? (?? ???????? ????? ???? ?????),2,1,1,3,2,2,1,4,1,3,3,2,1,2,4,2,1,4,4,5,2,3,"???? - 133 ????, 48% / ?????? - 127 ???, 47% / ???? - 109 ???, 48%"
2021/11/08 1:20:06 PM GMT+3,Leo Magalister,?,17,3590,3520,2312,6-10 ??? (???? ???? ? ?????? ?????????-????),2,4,4,5,2,4,5,5,5,4,4,1,1,5,4,4,2,5,2,4,2,2,"//???, 114 ????, 55%// ?????????, 73 ????, 68%// ????? 57 ??? 63%//"
2021/11/08 1:20:09 PM GMT+3,????????,?,18,1000,700,1200,11-20 ??? (????? ?????? ???? ?? ????????? ???),3,3,4,4,2,1,2,5,3,3,3,1,1,2,5,4,3,4,3,3,4,5,"??????, 157 ???, 48%; ???????, 112 ??? 47%; ???? ??????, 104????, 47%."
2021/11/08 1:20:11 PM GMT+3,mmgp,?,15,7130,7130,3000,?????? 30 ??? (?? ????? ???????? ?????? ????),3,2,3,5,1,1,2,2,1,5,4,1,1,3,5,2,2,3,5,2,3,1,"???????, 1700 ???, 59%. ????, 470 ???, 63%. ?????, 400 ???, 53%"
2021/11/08 1:20:11 PM GMT+3,??????,?,20,2500,2000,3000,6-10 ??? (???? ???? ? ?????? ?????????-????),2,3,2,5,1,1,5,5,4,5,1,1,1,3,5,2,3,3,3,2,4,3,"????? 130 56%,??? 52 68%, ????? 54 52%"
2021/11/08 1:20:15 PM GMT+3,Optimus prime,?,17,??? ????????,????,140,11-20 ??? (????? ?????? ???? ?? ????????? ???),5,2,5,5,3,4,4,5,4,5,1,4,2,3,5,4,5,5,5,4,4,4,"Draw Ranger, pugna, phantom assasin"
2021/11/08 1:20:15 PM GMT+3,Dizil,?,26,6800,6200,15000,11-20 ??? (????? ?????? ???? ?? ????????? ???),1,1,1,3,1,1,1,3,2,3,3,1,1,1,3,2,2,2,4,3,2,4,"???????, 467 ????, 58,46%
????, 382 ????, 60,99%
?????, 286 ????, 65,38%"
2021/11/08 1:20:17 PM GMT+3,??????,?,19,2100,1347,3462,6-10 ??? (???? ???? ? ?????? ?????????-????),3,1,4,5,2,4,3,2,4,5,2,1,1,2,4,4,3,3,3,5,4,5,"?????, 88 ???, 48%; ???? 112 ????, 52%; ????, 145 ???, 62%"
2021/11/08 1:20:21 PM GMT+3,??????? ???? CS. FAIL,?,15,790,790,890,?????? 30 ??? (?? ????? ???????? ?????? ????),1,3,1,4,1,1,1,5,1,5,3,1,1,1,5,5,1,1,3,1,1,5,"?????, 66 ????, 53, 03%. ??????????, 38 ???, 68,42%.????,37 ???, 62,16%. "
2021/11/08 1:20:27 PM GMT+3,??????/???????? ???????,?,24,4000,?? ??????????,4010,11-20 ??? (????? ?????? ???? ?? ????????? ???),1,3,2,1,1,1,1,2,1,1,5,4,1,1,1,3,2,4,1,1,1,3,"Bounty Hunter 197 56.35%, Grimstroke 147 50.34%, Skywrath Mage 139 53.24%"
2021/11/08 1:20:44 PM GMT+3,??????,?,17,1070 ???,970,710,20-30 ??? (?????? ???? ?? ????????? ???),1,3,2,5,1,1,5,4,4,4,2,2,2,5,5,3,3,5,4,2,5,1,"????? ???????, 128 ???, 62%; ??, 37 ???, 51.4%; ??????, 33 ????, 54.5%"
2021/11/08 1:21:00 PM GMT+3,Ra1De7,?,16,600???,460???,300,20-30 ??? (?????? ???? ?? ????????? ???),3,4,4,3,2,1,5,4,4,4,2,2,1,1,5,3,2,3,2,1,4,3,"sf 52  42%, huskar 36 61% antimage 30 56.7%"
2021/11/08 1:21:02 PM GMT+3,potnyak,?,17,2300,2200,1500,11-20 ??? (????? ?????? ???? ?? ????????? ???),1,3,3,5,2,2,5,4,3,5,1,1,1,5,5,2,1,1,3,2,1,1,"c? 113 ??? 53%, ????? 104 ??? 48%, ?????????? 71 ???? 55%"
2021/11/08 1:21:04 PM GMT+3,5 pos ????,?,14,1090,1090,1500,6-10 ??? (???? ???? ? ?????? ?????????-????),1,1,1,3,1,1,3,3,1,4,4,1,2,3,1,3,2,5,1,3,2,1,"??? ???, 173 ????, 61,3%. ??, 87 ???, 56,3%. ????, 86 ???, 57%."
2021/11/08 1:21:22 PM GMT+3,WhiteNot,?,25,3900,3540,3752,20-30 ??? (?????? ???? ?? ????????? ???),1,3,1,5,1,1,3,1,3,5,1,1,1,4,5,4,3,3,3,2,3,3,"???? 256 ????, 50%?; ??????? 216,58%;?????? 167,61%"
2021/11/08 1:21:25 PM GMT+3,TL,?,21,4?,3400,4000,11-20 ??? (????? ?????? ???? ?? ????????? ???),1,3,1,4,1,1,5,4,1,4,2,2,1,5,4,3,4,4,3,2,2,4,"Lion,172 ????, 61%; PA, 170 ????, 65%; zeus 90 ???, 65%"
2021/11/08 1:21:29 PM GMT+3,???? ?????? ??????,?,19,5940,5910,7 246,20-30 ??? (?????? ???? ?? ????????? ???),3,3,2,4,3,1,1,4,4,4,2,3,1,4,5,1,2,3,4,2,2,4,"?????,448,53,3% ?????,183,54,6%  ????,160,54,4% "
2021/11/08 1:21:36 PM GMT+3,Tmf_mistick,?,20,2450,2010,5650,?????? 30 ??? (?? ????? ???????? ?????? ????),2,3,3,4,3,1,5,4,2,5,3,3,2,5,5,3,5,5,5,5,4,5,"Jugger 350 ??? 54%, am 350 ??? 53%, spectre 200 ??? 61%"
2021/11/08 1:21:45 PM GMT+3,???????,?,26,3700,"3000 (?? ????? ??????, ?? ?? ????????? ????? 4 ?????)",2380,1-5 ??? (?? ???????? ????? ???? ?????),1,1,1,4,1,2,1,4,1,4,3,4,3,1,4,3,3,4,4,3,5,4,"?? 70/60%, ?????????? 59/66%, ???? 56/42%"
2021/11/08 1:21:46 PM GMT+3,??????,?,15,3000,2930,2680,6-10 ??? (???? ???? ? ?????? ?????????-????),1,2,1,2,3,4,1,3,5,4,4,4,2,4,4,4,3,5,3,4,4,4,"??????, 52 ????, 57%. ????, 80 ???, 60%. ?? 70 ???, 59%"
2021/11/08 1:21:47 PM GMT+3,MVetal93,?,13,250,170,880,11-20 ??? (????? ?????? ???? ?? ????????? ???),2,3,1,4,1,3,1,3,1,5,2,3,2,4,4,3,3,4,4,5,4,1,"???? 91 ???? 54%, ????? 23 ???? 82%, ?? 34 ???? 59%."
2021/11/08 1:21:49 PM GMT+3,?????,?,27,3500,1500,4000,11-20 ??? (????? ?????? ???? ?? ????????? ???),2,1,1,4,2,2,1,1,1,4,2,2,1,4,4,4,3,4,5,4,3,2,"???? 300 50,5%, ?????? 150 52%"
2021/11/08 1:21:56 PM GMT+3,M818TH,?,17,2000,1100,1300,11-20 ??? (????? ?????? ???? ?? ????????? ???),1,2,2,4,3,1,3,2,2,4,2,1,1,5,5,2,1,2,3,3,1,3,"Arc warden - 60, 50%
Huskar - 43, 50%
Templar Assassin - 45, 47%"
2021/11/08 1:22:06 PM GMT+3,???????? ???????,?,16,0,0,190,20-30 ??? (?????? ???? ?? ????????? ???),2,3,3,2,4,2,1,5,4,4,3,1,1,1,3,4,3,4,2,3,4,5,"????-???, 18 ???, 50%: ???? ??????, 17 ???, 41%: ??????????, 10 ???, 70%:"
2021/11/08 1:22:09 PM GMT+3,????? ?????,?,24,1300,1000,3500,11-20 ??? (????? ?????? ???? ?? ????????? ???),1,2,4,4,4,4,1,5,5,5,3,2,1,4,4,4,3,5,4,4,5,5,"????, 251, 47,41%, ??????, 154, 50%, ????????, 122, 50%"
2021/11/08 1:22:14 PM GMT+3,oblivion,?,23,4200,3200,2100,1-5 ??? (?? ???????? ????? ???? ?????),3,2,2,3,2,2,3,4,2,4,3,1,1,3,4,2,2,2,1,4,2,2,"Rubick, 110, 52.73%; Weaver, 44, 54.55%;Ogre Magi, 42, 54,76%"
2021/11/08 1:22:29 PM GMT+3,all mute,?,26,3500,3000,8000,1-5 ??? (?? ???????? ????? ???? ?????),3,2,3,4,1,3,2,3,3,4,2,2,1,3,4,3,3,5,4,5,3,3,???? 244 46%; ??????? 181 51%; ?? 167 62%
2021/11/08 1:22:34 PM GMT+3,111,?,17,1200,800,500,20-30 ??? (?????? ???? ?? ????????? ???),2,4,3,3,3,3,2,1,2,4,2,1,2,5,4,3,3,4,3,2,5,2,?? 75 ??? 46%  ???? 60 ??? 51% ????? 52???? 57%
2021/11/08 1:22:39 PM GMT+3,PvPenis,?,26,3500,2800,6000,11-20 ??? (????? ?????? ???? ?? ????????? ???),2,2,3,1,2,2,1,4,1,4,4,2,1,1,2,4,3,4,3,3,3,4,"?????, 357 ???, 48%
?????????, 264 ????, 52%
????, 242 ????, 55%"
